id1,id2,date,node_x,node_y
9203210,9801208,1992-03-15,636,629
9303219,9801208,1993-03-04,1070,629
9310203,9801208,1993-10-01,652,629
9203210,9801209,1992-03-15,636,630
9303219,9801209,1993-03-04,1070,630
9203222,9908362,1992-03-27,643,117
9204229,9908362,1992-04-22,922,117
9207223,9908362,1992-07-08,1423,117
9207270,9908362,1992-07-29,1453,117
9209277,9908362,1992-09-24,249,117
9211302,9908362,1992-11-24,613,117
9302269,9908362,1993-02-17,810,117
9303220,9908362,1993-03-04,1071,117
9304302,9908362,1993-04-27,1277,117
9305297,9908362,1993-05-21,1380,117
9306320,9908362,1993-06-26,73,117
9307290,9908362,1993-07-17,165,117
9307291,9908362,1993-07-18,166,117
9308369,9908362,1993-08-31,380,117
9205220,9506358,1992-05-13,1147,646
9207224,9506358,1992-07-09,1424,646
9205224,9204213,1992-05-19,1150,912
9205230,9203206,1992-05-22,1155,634
9207208,9203206,1992-07-02,1412,634
9207243,9203206,1992-07-15,1438,634
9209208,9203206,1992-09-03,212,634
9209285,9203206,1992-09-28,252,634
9212219,9203206,1992-12-03,847,634
9212318,9203206,1992-12-31,902,634
9303245,9203206,1993-03-11,1090,634
9304229,9203206,1993-04-07,1243,634
9305259,9203206,1993-05-12,1361,634
9306293,9203206,1993-06-21,55,634
9307214,9203206,1993-07-02,126,634
9309319,9203206,1993-09-23,509,634
9310260,9203206,1993-10-11,687,634
9310366,9203206,1993-10-27,757,634
9310374,9203206,1993-10-29,763,634
9311371,9203206,1993-11-29,1051,634
9206222,9204220,1992-06-15,1300,917
9206255,9204220,1992-06-26,1321,917
9206261,9204220,1992-06-29,1323,917
9311351,9204220,1993-11-23,1036,917
9206248,9612326,1992-06-25,1317,445
9206252,9203207,1992-06-26,1319,635
9207201,9203215,1992-07-01,1408,639
9304281,9203215,1993-04-21,1268,639
9304310,9203215,1993-04-27,1283,639
9306321,9203215,1993-06-28,74,639
9311259,9203215,1993-11-10,971,639
9207201,9203216,1992-07-01,1408,640
9304310,9203216,1993-04-27,1283,640
9311259,9203216,1993-11-10,971,640
9312238,9203216,1993-12-07,1201,640
9207201,9205226,1992-07-01,1408,1151
9207213,9206242,1992-07-03,1416,1313
9207264,9206242,1992-07-27,1448,1313
9212269,9206242,1992-12-16,873,1313
9212271,9206242,1992-12-16,874,1313
9212284,9206242,1992-12-18,882,1313
9301232,9206242,1993-01-12,533,1313
9302201,9206242,1993-02-01,768,1313
9302287,9206242,1993-02-22,820,1313
9304294,9206242,1993-04-23,1273,1313
9306264,9206242,1993-06-11,35,1313
9307265,9206242,1993-07-13,156,1313
9308219,9206242,1993-08-03,280,1313
9308275,9206242,1993-08-13,318,1313
9308321,9206242,1993-08-23,347,1313
9309287,9206242,1993-09-18,485,1313
9310230,9206242,1993-10-05,669,1313
9207230,9204232,1992-07-09,1427,923
9311227,9204232,1993-11-04,947,923
